promptId,movieId,score,reason
0001,1127,1.0,Truman begins investigating his reality when glitches reveal his life is a televised construct.
0001,89,0.95,Deckard's hunt for replicants becomes a quest to question humanity and the nature of his world.
0001,691,0.93,John unravels the truth behind a city controlled by mysterious architects manipulating reality.
0001,324,0.92,A man investigates strange memory shifts that lead him to question his own identity in a fractured reality.
0001,1240,0.9,Major Kusanagi uncovers dark secrets of a world where human minds merge with machines.
0001,7,0.88,"Sent back to solve a viral apocalypse, McGill's investigation becomes a meditation on fate and identity."
0001,134,0.85,"A reporter seeks the meaning of Kane's last word, unraveling a life of power, loss, and memory."
0001,202,0.83,"Phil relives the same day over and over, investigating the loop to uncover its hidden metaphysical purpose."
0001,175,0.8,"Sam Lowry stumbles on a bureaucratic labyrinth, probing a dystopian system that blurs reality and dream."
0001,39,0.78,"Lenny delves into memory recordings to solve a murder, exposing the price of reliving others' emotions."
0002,28,1.0,Astronauts confront cascading failures in space and must jury-rig solutions to return home.,1995
0002,31,0.95,Submarine officers locked underwater debate launch orders to avert nuclear disaster.,1995
0002,178,0.9,"Twelve jurors locked in a room debate a verdict, unraveling doubt through heated discussion.",1957
0002,568,0.85,Bus passengers and driver must outwit a terrorist’s bomb by keeping speed above 50 mph.,1994
0002,234,0.8,"Passengers and crew stranded at 30,000 ft must solve mechanical chaos to land safely.",1980
0002,144,0.75,One cop in a skyscraper must outthink terrorists to free hostages and regain control.,1988
0002,505,0.7,A wife and detective navigate a single house to expose a clever murder plot.,1954
0002,355,0.65,A team trapped in an underwater station encounters a mysterious sphere that demands logic to escape.,1998
0002,233,0.6,A cook on a battleship uses wit and grit to thwart terrorists holding the ship hostage.,1992
0002,1228,0.55,An ex-soldier on a hijacked train must outsmart criminals to save passengers.,1995
0003,39,1.0,"Strange Days: Memory-recording tech sparks dangerous obsession, forcing characters to confront the fallout of reliving others’ emotions."
0003,204,0.95,"Back to the Future: Time travel blunders ripple through history, making heroes face moral choices about changing their own pasts."
0003,7,0.93,"Twelve Monkeys: Time travel to avert a plague traps the traveler in paradox, challenging his grasp on reality and responsibility."
0003,82,0.91,"Jurassic Park: De‐extinction technology unleashes dinosaurs, igniting an ethical battle over control and unintended consequences."
0003,89,0.89,"Blade Runner: Bioengineered replicants seek humanity’s rights, forcing a cop to question what it means to be truly alive."
0003,135,0.87,"2001: A Space Odyssey: HAL’s AI autonomy turns lethal, revealing the moral perils of giving machines too much control."
0003,1240,0.85,"Ghost in the Shell: Cybernetic bodies and neural implants blur identity, driving a detective to question her own humanity."
0003,96,0.83,"Terminator 2: Judgment Day: Advanced shape‐shifting AI and time travel collide, confronting heroes with tech’s capacity for destruction."
0003,195,0.81,The Terminator: A future AI assassin forces humans to face the dark side of autonomous war machines and the cost of technological hubris.
0003,258,0.79,"Contact: Earth’s first alien signal discovery ignites a crisis of faith versus science, exploring tech’s role in shaping belief."
0004,955,1.0,"Two strangers share an ephemeral, poetic connection over one night wandering a city, their unspoken bond lingering after dawn"
0004,1429,0.95,"Fragmented tales of urban longing and almost-love painted in dreamy, fleeting encounters beneath neon lights"
0004,512,0.93,"Angelic observer and mortal share silent, weighty glances in a hauntingly beautiful cityscape"
0004,1339,0.9,A twist of fate divides one couple; their near-misses and unspoken regrets echo like watercolor washes
0004,86,0.88,"Quiet dignity and suppressed desire between butler and housekeeper create a profound, lingering tension"
0004,213,0.86,"Genteel Edwardian romance unfolds in soft hues of longing, glances speaking more than words ever could"
0004,60,0.84,"Melancholy beauty and unuttered yearning abound as a grieving woman navigates loss and new, cautious intimacy"
0004,516,0.82,A stranger’s gentle fascination in a sleepy village blooms in silent moments framed by misty seascapes
0004,20,0.8,Victorian restraint and subtle glances paint an intimate portrait of unfulfilled longing
0004,251,0.78,"A reserved soul finds unexpected sparks in quiet dance lessons, their silent chemistry in every glance"
0005,154,0.91,Subverts Messiah trope as an accidental ‘chosen one’ fraud whose followers do all the real work
0005,168,0.89,King Arthur’s chosen quest fails; his hapless knights bumble through without real guidance
0005,395,0.86,Robin Hood is a clueless hero caricature saved by his cunning sidekick Ahchoo
0005,41,0.84,Spoiled heir ‘chosen’ for family business is hopeless; his tutor does the heavy lifting
0005,73,0.82,Gambler hero stumbles through a poker quest while sidekick Annie graves the real wins
0005,249,0.8,Parody spy whose bumbling antics force Number 2 to do the real saving of the world
0005,132,0.78,Self-proclaimed Wizard is a fraud; Dorothy and friends drive the true quest home
0005,12,0.75,Mastermind Verbal Kint is a con artist; real detective work comes from the bystander detective
0005,395,0.74,Robin Hood is an inept swashbuckler; his trusty sidekick bests him at every turn
0005,168,0.73,King Arthur relies on accidental prophecy; his followers salvage the ‘quest’ without him
0006,6,1.0,"Set amid 1930s Shanghai's gangland and Japanese invasion, a boy's life is upended working for a Triad boss."
0006,51,0.95,"WWI's distant echo hits a Montana ranch family, derailing their small-town lives when sons head to war."
0006,641,0.94,"WWI trench warfare through the eyes of foot soldiers, chaos and fear shaping ordinary men's fates."
0006,1124,0.93,"WWI romance in Italy, a soldier and nurse struggle to keep love alive as war tears their lives apart."
0006,69,0.92,"A man's simple life brushes past pivotal US events, showing how history ripples through one ordinary soul."
0006,462,0.91,"Set in the Mexican Revolution, a family's culinary bonds fracture under social upheaval."
0006,86,0.9,"Post-WWII England seen through a butler's eyes, where a feudal estate's shifts reflect a changing world."
0006,116,0.89,"After WWI, a young woman flees to an eccentric English country estate, her hopes clashing with postwar ruin."
0006,119,0.88,British doctor transplanted to colonial Africa feels the tide of political change crashing into his isolated existence.
0006,699,0.87,"Civil War era New England, a family navigates small-town grief and change as the nation tears itself apart."
0007,178,0.98,Jurors in a homicide trial must choose between convicting with uncertain evidence or freeing a potentially guilty teen.
0007,44,0.96,A mother faces the impossible decision of killing her abusive husband to protect her child.
0007,31,0.94,"A submarine captain must defy or obey orders to launch nuclear missiles, each choice risking countless lives."
0007,11,0.92,A detective must choose to follow protocol or use lethal force to stop a calculating serial killer.
0007,127,0.9,"An honest family man must betray his own kin or uphold justice, risking personal ruin."
0007,136,0.88,A rookie senator must decide between honest reform or political compromise to expose deep corruption.
0007,318,0.86,A factory owner must risk his fortune and safety to shelter the oppressed under a brutal regime.
0007,179,0.84,A violent criminal must choose between losing his free will or returning to his former brutality.
0007,203,0.82,A reformed gunslinger must decide if taking up arms again is justified to save the innocent.
0007,22,0.8,A warrior must choose between loyalty to his king or fighting for his adopted people’s freedom.
0008,173,1.0,A classic sword-and-sorcery quest where a ragtag group forges unforgettable bonds over a daring rescue and epic adventure.
0008,132,0.94,Dorothy’s epic trek down the Yellow Brick Road with a motley crew highlights how friendship and growth matter more than home.
0008,140,0.92,"A trio of lost pets embarks on a perilous journey across the wilderness, discovering loyalty and friendship along the way."
0008,21,0.9,"Kermit’s ragtag crew sets sail on a swashbuckling treasure hunt, growing closer through hilarious mishaps and true friendship."
0008,1,0.88,"A band of mismatched toys navigates a rescue quest, learning about trust and growing together more than reaching their goal."
0008,122,0.86,"Shipwrecked family unites to survive on a tropical island, transforming disparate personalities into a strong, loving unit."
0008,174,0.84,Indiana Jones and his unlikely allies race across continents in a pulse-pounding quest that bonds them through danger.
0008,210,0.82,"Father and son embark on a globe-trotting quest for the Holy Grail, strengthening their bond with each daring escapade."
0008,50,0.8,"Luke, Leia, Han and Chewbacca form a rebel team on a daring quest to destroy the Death Star and discover themselves."
0008,141,0.78,"A mismatched naval crew explores an undersea odyssey aboard the Nautilus, forging bonds amid wonder and peril."
0009,298,0.95,Cop and villain switch bodies and outthink each other in a high-stakes cat-and-mouse spy game
0009,333,0.92,"Billionaire manipulated by elaborate real-world game, constantly improvising against a matched adversary"
0009,12,0.9,A mastermind’s heist unravels into a deadly puzzle of minds matched in wits and respect
0009,5,0.88,Serial-killer expert drawn into a cerebral chase with a cunning predator
0009,79,0.87,Wrongly accused doctor vs. one-armed man: mutual respect fuels relentless pursuit
0009,11,0.85,"Detectives vs. ritual killer, each adapting dark strategies in tense mental duel"
0009,293,0.83,"Undercover FBI agent infiltrates mob, outwitting and outthinking a seasoned crime boss"
0009,98,0.82,FBI trainee and brilliant captive spar intellectually over each other’s next move
0009,2,0.8,"Bond vs. treacherous ally, matching strategy for infiltrations and double-crosses"
0009,31,0.78,Nuclear sub captain battles his XO over launch orders in a tense chess-like standoff
0010,61,0.94,Married couple’s divorce pact leads to bitter rivalry later redeemed by true understanding
